year,iso3c,smod,pop_WPP2022,country
1980,AGO,Rural grid cells,2.8997631513799003,Angola
1980,AGO,Urban cluster,1.8344274620477994,Angola
1985,AGO,Urban centre,4.360405318452306,Angola
1985,AGO,Rural grid cells,3.3141476055862835,Angola
1985,AGO,Urban cluster,2.1166080759614094,Angola
1990,AGO,Urban centre,5.396666739105044,Angola
1990,AGO,Rural grid cells,3.8490143375175823,Angola
1990,AGO,Urban cluster,2.385841923377375,Angola
1995,AGO,Urban centre,6.462675334396198,Angola
1995,AGO,Rural grid cells,4.397374789215136,Angola
1995,AGO,Urban cluster,2.8208578763886645,Angola
2000,AGO,Urban centre,7.926683359145383,Angola
2000,AGO,Rural grid cells,5.111346381978661,Angola
2000,AGO,Urban cluster,3.0889372588759545,Angola
2005,AGO,Urban centre,9.808621330193084,Angola
2005,AGO,Rural grid cells,5.981763446675128,Angola
2005,AGO,Urban cluster,3.3134412231317882,Angola
2010,AGO,Urban centre,12.715878634553828,Angola
2010,AGO,Rural grid cells,6.651055296339871,Angola
2010,AGO,Urban cluster,3.5581480691063008,Angola
2015,AGO,Urban centre,16.752250800216547,Angola
2015,AGO,Rural grid cells,7.156077478436416,Angola
2015,AGO,Urban cluster,3.7159917213470357,Angola
2020,AGO,Urban centre,20.82999635083728,Angola
2020,AGO,Rural grid cells,8.16070800574416,Angola
2020,AGO,Urban cluster,3.908292643418565,Angola
1950,AIA,Rural grid cells,0.00489,Anguilla
1955,AIA,Rural grid cells,0.005721,Anguilla
1960,AIA,Rural grid cells,0.005738,Anguilla
1965,AIA,Rural grid cells,0.005995000000000001,Anguilla
1970,AIA,Rural grid cells,0.006257,Anguilla
1975,AIA,Rural grid cells,0.006443,Anguilla
1980,AIA,Rural grid cells,0.006551,Anguilla
1985,AIA,Rural grid cells,0.006777,Anguilla
1990,AIA,Rural grid cells,0.00817,Anguilla
1995,AIA,Rural grid cells,0.009472,Anguilla
2000,AIA,Rural grid cells,0.010878,Anguilla
2005,AIA,Rural grid cells,0.012031,Anguilla
2010,AIA,Rural grid cells,0.013055,Anguilla
2015,AIA,Rural grid cells,0.00927846438497651,Anguilla
2015,AIA,Urban cluster,0.00507753561502349,Anguilla
2020,AIA,Rural grid cells,0.010360059550732083,Anguilla
2020,AIA,Urban cluster,0.0051349404492679164,Anguilla
1950,ALB,Urban centre,0.0790018923439557,Albania
1950,ALB,Rural grid cells,0.9824578680209937,Albania
1950,ALB,Urban cluster,0.17301423963505055,Albania
1955,ALB,Urban centre,0.11806220086444859,Albania
1955,ALB,Rural grid cells,1.0815025784442749,Albania
1955,ALB,Urban cluster,0.2312082206912765,Albania
1960,ALB,Urban centre,0.1785961576367473,Albania
1960,ALB,Rural grid cells,1.1888968367652764,Albania
1960,ALB,Urban cluster,0.31516400559797647,Albania
1965,ALB,Urban centre,0.2663594498147654,Albania
1965,ALB,Rural grid cells,1.2882476944908914,Albania
1965,ALB,Urban cluster,0.4248428556943434,Albania
1970,ALB,Urban centre,0.3815881224588797,Albania
1970,ALB,Rural grid cells,1.3610971809772219,Albania
1970,ALB,Urban cluster,0.5496156965638987,Albania
1975,ALB,Urban centre,0.5271112596046946,Albania
1975,ALB,Rural grid cells,1.4055303024834584,Albania
1975,ALB,Urban cluster,0.6852684379118468,Albania
1980,ALB,Urban centre,0.4144506594814659,Albania
1980,ALB,Rural grid cells,1.5335213125719833,Albania
1980,ALB,Urban cluster,0.9677310279465507,Albania
1985,ALB,Urban centre,0.3897844338400783,Albania
1985,ALB,Rural grid cells,1.5932662128833075,Albania
1985,ALB,Urban cluster,1.1697593532766142,Albania
1990,ALB,Urban centre,0.5883485491903016,Albania
1990,ALB,Rural grid cells,1.5732994757762908,Albania
1990,ALB,Urban cluster,1.128413975033408,Albania
1995,ALB,Urban centre,0.7786116079557018,Albania
1995,ALB,Rural grid cells,1.457800781179016,Albania
1995,ALB,Urban cluster,1.053547610865282,Albania
2000,ALB,Urban centre,0.8887347304382504,Albania
2000,ALB,Rural grid cells,1.3561870149865558,Albania
2000,ALB,Urban cluster,0.950791254575194,Albania
2005,ALB,Urban centre,0.9752382970884348,Albania
2005,ALB,Rural grid cells,1.2431097465170318,Albania
2005,ALB,Urban cluster,0.8291209563945333,Albania
2010,ALB,Urban centre,1.0141488201520492,Albania
2010,ALB,Rural grid cells,1.1123456224614143,Albania
2010,ALB,Urban cluster,0.7944025573865359,Albania
2015,ALB,Urban centre,1.1325845085630886,Albania
2015,ALB,Rural grid cells,1.0022097008039068,Albania
2015,ALB,Urban cluster,0.7483617906330045,Albania
2020,ALB,Urban centre,1.273026595464719,Albania
2020,ALB,Rural grid cells,0.9217378243261063,Albania
2020,ALB,Urban cluster,0.6773655802091748,Albania
1950,AND,Rural grid cells,0.005948,Andorra
1955,AND,Rural grid cells,0.005832000000000001,Andorra
1960,AND,Rural grid cells,0.003642032197433887,Andorra
1960,AND,Urban cluster,0.005419967802566114,Andorra
1965,AND,Rural grid cells,0.00489847614210768,Andorra
1965,AND,Urban cluster,0.008221523857892321,Andorra
1970,AND,Rural grid cells,0.006568453516688239,Andorra
1970,AND,Urban cluster,0.01257254648331176,Andorra
1975,AND,Rural grid cells,0.008340991965587005,Andorra
1975,AND,Urban cluster,0.018478008034412997,Andorra
1980,AND,Rural grid cells,0.010378044521553265,Andorra
1980,AND,Urban cluster,0.024529955478446733,Andorra
1985,AND,Rural grid cells,0.01208453395576504,Andorra
1985,AND,Urban cluster,0.030947466044234956,Andorra
1990,AND,Rural grid cells,0.010564341744516257,Andorra
1990,AND,Urban cluster,0.042051658255483744,Andorra
1995,AND,Rural grid cells,0.014289529783262832,Andorra
1995,AND,Urban cluster,0.047693470216737165,Andorra
2000,AND,Rural grid cells,0.016524395434230957,Andorra
2000,AND,Urban cluster,0.04935560456576903,Andorra
2005,AND,Rural grid cells,0.01568042165726728,Andorra
2005,AND,Urban cluster,0.06274357834273273,Andorra
2010,AND,Rural grid cells,0.01641667277461213,Andorra
2010,AND,Urban cluster,0.05630032722538785,Andorra
2015,AND,Rural grid cells,0.01793360264260872,Andorra
2015,AND,Urban cluster,0.05378839735739128,Andorra
2020,AND,Rural grid cells,0.0203070909806024,Andorra
2020,AND,Urban cluster,0.056712909019397593,Andorra
1950,ARE,Rural grid cells,0.026244525228665914,United Arab Emirates
1950,ARE,Urban cluster,0.04580347477133408,United Arab Emirates
1955,ARE,Rural grid cells,0.0348338081448735,United Arab Emirates
1955,ARE,Urban cluster,0.06411319185512648,United Arab Emirates
1960,ARE,Rural grid cells,0.04463960625608679,United Arab Emirates
1960,ARE,Urban cluster,0.08510139374391323,United Arab Emirates
1965,ARE,Rural grid cells,0.05654511751217083,United Arab Emirates
1965,ARE,Urban cluster,0.11295088248782915,United Arab Emirates
1970,ARE,Urban centre,0.0796669426338059,United Arab Emirates
1970,ARE,Rural grid cells,0.08552361221234867,United Arab Emirates
1970,ARE,Urban cluster,0.11005344515384544,United Arab Emirates
1975,ARE,Urban centre,0.16068486088286077,United Arab Emirates
1975,ARE,Rural grid cells,0.15016758904109448,United Arab Emirates
1975,ARE,Urban cluster,0.20660255007604483,United Arab Emirates
1980,ARE,Urban centre,0.40385212419812977,United Arab Emirates
1980,ARE,Rural grid cells,0.1986281743545523,United Arab Emirates
1980,ARE,Urban cluster,0.3586607014473179,United Arab Emirates
1985,ARE,Urban centre,0.5708844310255294,United Arab Emirates
1985,ARE,Rural grid cells,0.2478053898937021,United Arab Emirates
1985,ARE,Urban cluster,0.5251361790807685,United Arab Emirates
1990,ARE,Urban centre,1.0075648847671002,United Arab Emirates
1990,ARE,Rural grid cells,0.28918687369979945,United Arab Emirates
1990,ARE,Urban cluster,0.5492342415331003,United Arab Emirates
1995,ARE,Urban centre,1.3053272916936831,United Arab Emirates
1995,ARE,Rural grid cells,0.3457636553157652,United Arab Emirates
1995,ARE,Urban cluster,0.7304010529905522,United Arab Emirates
2000,ARE,Urban centre,1.9408997095355123,United Arab Emirates
2000,ARE,Rural grid cells,0.3849469712911552,United Arab Emirates
2000,ARE,Urban cluster,0.8602713191733329,United Arab Emirates
2005,ARE,Urban centre,2.7062495607129584,United Arab Emirates
2005,ARE,Rural grid cells,0.4623986278837779,United Arab Emirates
2005,ARE,Urban cluster,0.9146058114032635,United Arab Emirates
2010,ARE,Urban centre,6.181886831797127,United Arab Emirates
2010,ARE,Rural grid cells,0.7203524491976192,United Arab Emirates
2010,ARE,Urban cluster,1.5317517190052548,United Arab Emirates
2015,ARE,Urban centre,6.5912861985574445,United Arab Emirates
2015,ARE,Rural grid cells,0.7994488666195374,United Arab Emirates
2015,ARE,Urban cluster,1.4865529348230169,United Arab Emirates
2020,ARE,Urban centre,6.756197688329106,United Arab Emirates
2020,ARE,Rural grid cells,0.9196439423726638,United Arab Emirates
2020,ARE,Urban cluster,1.5717083692982294,United Arab Emirates
1950,ARG,Urban centre,7.575195348464471,Argentina
1950,ARG,Rural grid cells,4.3515330327841655,Argentina
1950,ARG,Urban cluster,4.922953618751363,Argentina
1955,ARG,Urban centre,8.72544145159688,Argentina
1955,ARG,Rural grid cells,4.505423432520523,Argentina
1955,ARG,Urban cluster,5.306435115882594,Argentina
1960,ARG,Urban centre,9.885908222253462,Argentina
1960,ARG,Rural grid cells,4.649485355762314,Argentina
1960,ARG,Urban cluster,5.652213421984224,Argentina
1965,ARG,Urban centre,11.098341463734867,Argentina
1965,ARG,Rural grid cells,4.788842889419204,Argentina
1965,ARG,Urban cluster,5.993049646845931,Argentina
1970,ARG,Urban centre,12.387909921512103,Argentina
1970,ARG,Rural grid cells,4.925459859279402,Argentina
1970,ARG,Urban cluster,6.339627219208495,Argentina
1975,ARG,Urban centre,13.861514240108141,Argentina
1975,ARG,Rural grid cells,5.0619534513787015,Argentina
1975,ARG,Urban cluster,6.746304308513159,Argentina
1980,ARG,Urban centre,15.575153672987389,Argentina
1980,ARG,Rural grid cells,5.33420076431357,Argentina
1980,ARG,Urban cluster,6.895062562699044,Argentina
1985,ARG,Urban centre,17.334792619766546,Argentina
1985,ARG,Rural grid cells,5.711625968081007,Argentina
1985,ARG,Urban cluster,7.011843412152448,Argentina
1990,ARG,Urban centre,18.97523275499051,Argentina
1990,ARG,Rural grid cells,6.037357490371528,Argentina
1990,ARG,Urban cluster,7.38957175463796,Argentina
1995,ARG,Urban centre,20.682329690102527,Argentina
1995,ARG,Rural grid cells,5.996536019830023,Argentina
1995,ARG,Urban cluster,8.04224329006745,Argentina
2000,ARG,Urban centre,22.384525525200075,Argentina
2000,ARG,Rural grid cells,5.984495582689088,Argentina
2000,ARG,Urban cluster,8.494978892110842,Argentina
2005,ARG,Urban centre,24.009322423305544,Argentina
2005,ARG,Rural grid cells,6.064262619561918,Argentina
2005,ARG,Urban cluster,8.79429895713254,Argentina
2010,ARG,Urban centre,25.689738622499696,Argentina
2010,ARG,Rural grid cells,6.056161333317848,Argentina
2010,ARG,Urban cluster,9.146878044182452,Argentina
2015,ARG,Urban centre,27.37835830664178,Argentina
2015,ARG,Rural grid cells,6.1767984710949655,Argentina
2015,ARG,Urban cluster,9.487130222263248,Argentina
2020,ARG,Urban centre,28.80444132854107,Argentina
2020,ARG,Rural grid cells,6.27598544556119,Argentina
2020,ARG,Urban cluster,9.828014225897736,Argentina
1950,ARM,Urban centre,0.45402234076380504,Armenia
1950,ARM,Rural grid cells,0.60901260988594,Armenia
1950,ARM,Urban cluster,0.3030460493502549,Armenia
1955,ARM,Urban centre,0.5678705156713187,Armenia
1955,ARM,Rural grid cells,0.6356145215839041,Armenia
1955,ARM,Urban cluster,0.37536096274477715,Armenia
1960,ARM,Urban centre,0.7277864492019185,Armenia
1960,ARM,Rural grid cells,0.6635241720077092,Armenia
1960,ARM,Urban cluster,0.47946537879037243,Armenia
1965,ARM,Urban centre,0.9145103382664407,Armenia
1965,ARM,Rural grid cells,0.6842983336157883,Armenia
1965,ARM,Urban cluster,0.6041183281177711,Armenia
1970,ARM,Urban centre,1.0873555922563407,Armenia
1970,ARM,Rural grid cells,0.6936675077244493,Armenia
1970,ARM,Urban cluster,0.72494990001921,Armenia
1975,ARM,Urban centre,1.2531181847681012,Armenia
1975,ARM,Rural grid cells,0.6967695488243459,Armenia
1975,ARM,Urban cluster,0.8487342664075526,Armenia
1980,ARM,Urban centre,1.405696372611652,Armenia
1980,ARM,Rural grid cells,0.7193589751967543,Armenia
1980,ARM,Urban cluster,0.9940136521915935,Armenia
1985,ARM,Urban centre,1.4260714610506182,Armenia
1985,ARM,Rural grid cells,0.7416849756455262,Armenia
1985,ARM,Urban cluster,1.1193125633038552,Armenia
1990,ARM,Urban centre,1.4325491875427119,Armenia
1990,ARM,Rural grid cells,0.7858981490686455,Armenia
1990,ARM,Urban cluster,1.3073356633886424,Armenia
1995,ARM,Urban centre,1.424219503134748,Armenia
1995,ARM,Rural grid cells,0.7418833372639607,Armenia
1995,ARM,Urban cluster,1.167770159601291,Armenia
2000,ARM,Urban centre,1.4025790976702224,Armenia
2000,ARM,Rural grid cells,0.7243431014956776,Armenia
2000,ARM,Urban cluster,1.0607698008341002,Armenia
2005,ARM,Urban centre,1.3485983150068468,Armenia
2005,ARM,Rural grid cells,0.7037081700653851,Armenia
2005,ARM,Urban cluster,1.0041425149277678,Armenia
2010,ARM,Urban centre,1.2982824938353543,Armenia
2010,ARM,Rural grid cells,0.6873999247430274,Armenia
2010,ARM,Urban cluster,0.9699255814216184,Armenia
2015,ARM,Urban centre,1.2849055508295246,Armenia
2015,ARM,Rural grid cells,0.6635917862283599,Armenia
2015,ARM,Urban cluster,0.9364606629421155,Armenia
2020,ARM,Urban centre,1.1782827864661722,Armenia
2020,ARM,Rural grid cells,0.6534974407414867,Armenia
2020,ARM,Urban cluster,0.9807157727923411,Armenia
1950,ASM,Rural grid cells,0.008455906151489742,American Samoa
1950,ASM,Urban cluster,0.01026109384851026,American Samoa
1955,ASM,Rural grid cells,0.008690062276402365,American Samoa
1955,ASM,Urban cluster,0.011104937723597635,American Samoa
1960,ASM,Rural grid cells,0.008771412283498684,American Samoa
1960,ASM,Urban cluster,0.011087587716501314,American Samoa
1965,ASM,Rural grid cells,0.00929126971052067,American Samoa
1965,ASM,Urban cluster,0.01372673028947933,American Samoa
1970,ASM,Rural grid cells,0.009788483018754382,American Samoa
1970,ASM,Urban cluster,0.01700351698124562,American Samoa
1975,ASM,Rural grid cells,0.010056988579666288,American Samoa
1975,ASM,Urban cluster,0.01920601142033371,American Samoa
1980,ASM,Rural grid cells,0.01027537218076227,American Samoa
1980,ASM,Urban cluster,0.022077627819237736,American Samoa
1985,ASM,Rural grid cells,0.010521987213925041,American Samoa
1985,ASM,Urban cluster,0.02837601278607496,American Samoa
1990,ASM,Rural grid cells,0.009937479410035298,American Samoa
1990,ASM,Urban cluster,0.03724652058996471,American Samoa
1995,ASM,Rural grid cells,0.009284553554865186,American Samoa
1995,ASM,Urban cluster,0.043568446445134815,American Samoa
2000,ASM,Rural grid cells,0.009772639726194729,American Samoa
2000,ASM,Urban cluster,0.04831336027380527,American Samoa
2005,ASM,Rural grid cells,0.010184719964808481,American Samoa
2005,ASM,Urban cluster,0.047264280035191515,American Samoa
2010,ASM,Rural grid cells,0.010503036154871885,American Samoa
2010,ASM,Urban cluster,0.044596963845128124,American Samoa
2015,ASM,Rural grid cells,0.009880582213070538,American Samoa
2015,ASM,Urban cluster,0.041924417786929465,American Samoa
2020,ASM,Rural grid cells,0.011331513526151424,American Samoa
2020,ASM,Urban cluster,0.03542248647384858,American Samoa
1950,ATG,Rural grid cells,0.02552365722526243,Antigua & Barbuda
1950,ATG,Urban cluster,0.019424342774737577,Antigua & Barbuda
1955,ATG,Rural grid cells,0.02632649438573704,Antigua & Barbuda
1955,ATG,Urban cluster,0.023443505614262967,Antigua & Barbuda
1960,ATG,Rural grid cells,0.026860074495690982,Antigua & Barbuda
1960,ATG,Urban cluster,0.027959925504309018,Antigua & Barbuda
1965,ATG,Rural grid cells,0.027002832355554802,Antigua & Barbuda
1965,ATG,Urban cluster,0.0321591676444452,Antigua & Barbuda
1970,ATG,Rural grid cells,0.027135708773088657,Antigua & Barbuda
1970,ATG,Urban cluster,0.03716029122691134,Antigua & Barbuda
1975,ATG,Rural grid cells,0.0265236667311566,Antigua & Barbuda
1975,ATG,Urban cluster,0.037577333268843396,Antigua & Barbuda
1980,ATG,Rural grid cells,0.025690626909942605,Antigua & Barbuda
1980,ATG,Urban cluster,0.0390913730900574,Antigua & Barbuda
1985,ATG,Rural grid cells,0.025069879940533925,Antigua & Barbuda
1985,ATG,Urban cluster,0.04014212005946607,Antigua & Barbuda
1990,ATG,Rural grid cells,0.023462995976298254,Antigua & Barbuda
1990,ATG,Urban cluster,0.040010004023701744,Antigua & Barbuda
1995,ATG,Rural grid cells,0.0243139479925447,Antigua & Barbuda
1995,ATG,Urban cluster,0.043396052007455305,Antigua & Barbuda
2000,ATG,Rural grid cells,0.025966723316757565,Antigua & Barbuda
2000,ATG,Urban cluster,0.04845627668324244,Antigua & Barbuda
2005,ATG,Rural grid cells,0.022997970495051822,Antigua & Barbuda
2005,ATG,Urban cluster,0.05638202950494819,Antigua & Barbuda
2010,ATG,Rural grid cells,0.023307996523443536,Antigua & Barbuda
2010,ATG,Urban cluster,0.061855003476556474,Antigua & Barbuda
2015,ATG,Rural grid cells,0.022965212229703942,Antigua & Barbuda
2015,ATG,Urban cluster,0.06662978777029606,Antigua & Barbuda
2020,ATG,Rural grid cells,0.022664774811738064,Antigua & Barbuda
2020,ATG,Urban cluster,0.06971222518826194,Antigua & Barbuda
1950,AUS,Urban centre,3.065049295172908,Australia
1950,AUS,Rural grid cells,2.7333565316612782,Australia
1950,AUS,Urban cluster,2.2504941731658143,Australia
1955,AUS,Urban centre,3.6515691161102595,Australia
1955,AUS,Rural grid cells,2.875755459509854,Australia
1955,AUS,Urban cluster,2.5724464243798857,Australia
1960,AUS,Urban centre,4.270143833725327,Australia
1960,AUS,Rural grid cells,3.0097264543942015,Australia
1960,AUS,Urban cluster,2.893884711880473,Australia
1965,AUS,Urban centre,4.900971455586627,Australia
1965,AUS,Rural grid cells,3.136372125638841,Australia
1965,AUS,Urban cluster,3.202668418774531,Australia
1970,AUS,Urban centre,5.598263051706998,Australia
1970,AUS,Rural grid cells,3.262117186651934,Australia
1970,AUS,Urban cluster,3.533535761641069,Australia
1975,AUS,Urban centre,6.468130876398901,Australia
1975,AUS,Rural grid cells,3.3925760446071025,Australia
1975,AUS,Urban cluster,3.9485340789939953,Australia
1980,AUS,Urban centre,6.997807012249142,Australia
1980,AUS,Rural grid cells,3.472352257494372,Australia
1980,AUS,Urban cluster,4.1343217302564845,Australia
1985,AUS,Urban centre,7.658978891463973,Australia
1985,AUS,Rural grid cells,3.629737695377338,Australia
1985,AUS,Urban cluster,4.389030413158688,Australia
1990,AUS,Urban centre,8.448506220672114,Australia
1990,AUS,Rural grid cells,3.7770332053943685,Australia
1990,AUS,Urban cluster,4.703346573933519,Australia
1995,AUS,Urban centre,9.028852151176505,Australia
1995,AUS,Rural grid cells,3.826063084034811,Australia
1995,AUS,Urban cluster,5.043028764788684,Australia
2000,AUS,Urban centre,9.381869501954913,Australia
2000,AUS,Rural grid cells,4.06417350972648,Australia
2000,AUS,Urban cluster,5.457269988318609,Australia
2005,AUS,Urban centre,10.046931108305019,Australia
2005,AUS,Rural grid cells,4.177000738355954,Australia
2005,AUS,Urban cluster,5.816198153339027,Australia
2010,AUS,Urban centre,11.213346640539077,Australia
2010,AUS,Rural grid cells,4.291764646927892,Australia
2010,AUS,Urban cluster,6.351853712533032,Australia
2015,AUS,Urban centre,12.632969854918942,Australia
2015,AUS,Rural grid cells,4.398335478344883,Australia
2015,AUS,Urban cluster,6.610132666736174,Australia
2020,AUS,Urban centre,14.472257428153311,Australia
2020,AUS,Rural grid cells,4.504692034274789,Australia
2020,AUS,Urban cluster,6.567229537571898,Australia
1950,AUT,Urban centre,1.9919028500467113,Austria
1950,AUT,Rural grid cells,3.5927069581980127,Austria
1950,AUT,Urban cluster,1.3531991917552755,Austria
1955,AUT,Urban centre,1.9945534921438248,Austria
1955,AUT,Rural grid cells,3.580532011369901,Austria
1955,AUT,Urban cluster,1.3688464964862745,Austria
1960,AUT,Urban centre,2.0347306161032064,Austria
1960,AUT,Rural grid cells,3.5832965840721,Austria
1960,AUT,Urban cluster,1.4113387998246925,Austria
1965,AUT,Urban centre,2.1381572406609064,Austria
1965,AUT,Rural grid cells,3.6096755648605647,Austria
1965,AUT,Urban cluster,1.4990381944785285,Austria
1970,AUT,Urban centre,2.2365496026315874,Austria
1970,AUT,Rural grid cells,3.6311447078171066,Austria
1970,AUT,Urban cluster,1.5856736895513055,Austria
1975,AUT,Urban centre,2.3008432410105235,Austria
1975,AUT,Rural grid cells,3.638720656729442,Austria
1975,AUT,Urban cluster,1.650758102260035,Austria
1980,AUT,Urban centre,2.253880107775665,Austria
1980,AUT,Rural grid cells,3.630030613237103,Austria
1980,AUT,Urban cluster,1.659776278987232,Austria
1985,AUT,Urban centre,2.263355953716521,Austria
1985,AUT,Rural grid cells,3.6280760475627964,Austria
1985,AUT,Urban cluster,1.6688539987206832,Austria
1990,AUT,Urban centre,2.26332780836107,Austria
1990,AUT,Rural grid cells,3.6685428892542586,Austria
1990,AUT,Urban cluster,1.713592302384671,Austria
1995,AUT,Urban centre,2.2828393649909997,Austria
1995,AUT,Rural grid cells,3.761947685451933,Austria
1995,AUT,Urban cluster,1.897739949557067,Austria
2000,AUT,Urban centre,2.2805284416830793,Austria
2000,AUT,Rural grid cells,3.7217765312780653,Austria
2000,AUT,Urban cluster,1.9988920270388562,Austria
2005,AUT,Urban centre,2.4534157071405605,Austria
2005,AUT,Rural grid cells,3.693295653036103,Austria
2005,AUT,Urban cluster,2.053906639823336,Austria
2010,AUT,Urban centre,2.558694146845233,Austria
2010,AUT,Rural grid cells,3.668574400674457,Austria
2010,AUT,Urban cluster,2.1237074524803115,Austria
2015,AUT,Urban centre,2.691359432072913,Austria
2015,AUT,Rural grid cells,3.6490893769235284,Austria
2015,AUT,Urban cluster,2.244160191003559,Austria
2020,AUT,Urban centre,2.978895237001994,Austria
2020,AUT,Rural grid cells,3.6703661020271383,Austria
2020,AUT,Urban cluster,2.2518446609708676,Austria
